Front,Back
"Define CT.","Concentration × Time product used to gauge disinfection performance."
"What factors reduce chlorine effectiveness?","Low pH helps; high pH,high demand,and low temperature reduce effectiveness."
"Free vs combined chlorine?","Free is HOCl/OCl−; combined is chloramine species."
"What is breakpoint chlorination?","Dose at which chlorine demand is satisfied and free chlorine residual increases."
"Typical system minimum residual?","≈0.2 mg/L free chlorine at extremities (jurisdiction dependent)."
"Why maintain residual in distribution?","Provide ongoing protection and indicate system integrity."
"Chlorine gas safety concern?","Toxic inhalation hazard; requires gas detection and scrubbing."
"Sodium hypochlorite storage issue?","Decomposes over time; affected by heat, light, and metals."
"Chloramine advantage?","More stable residual, fewer THMs (but may form nitrosamines)."
"Chloramine disadvantage?","Less potent disinfectant; potential nitrification in distribution."
"What is contact basin baffling?","Design elements to improve effective contact time (T10)."
"Define T10.","Time for 10% of the water to pass through (effective contact time)."
"UV advantage?","Effective against Cryptosporidium; no DBPs from dose itself."
"UV limitation?","No residual; requires power and UVT adequate."
"Ozone advantage?","Strong oxidant/disinfectant; improves taste/odor."
"Ozone limitation?","Short‑lived; may form bromate if bromide present."
"Dechlorination agent?","Sodium thiosulfate or sulfur dioxide/sulfite."
"What is chlorine demand?","Amount of chlorine consumed by reactions before residual forms."
"Chlorine contact time increases with?","Lower flow, larger volume, better baffling."
"What is combined chlorine breakpoint behavior?","Initial residual rises (chloramines), dips near breakpoint, rises as free chlorine."
"What is nitrification?","Biological conversion of ammonia → nitrite → nitrate in chloraminated systems."
"How to control nitrification?","Maintain proper Cl2:NH3 ratio,minimize water age,periodic boosting/free chlorination."
"What is ORP?","Oxidation‑Reduction Potential indicating oxidizing conditions."
"Why measure free/total chlorine separately?","To differentiate free chlorine from chloramines for control."
"What is hypochlorous acid (HOCl)?","The most effective free chlorine species, dominant at low pH."
"pH effect on HOCl/OCl−?","Lower pH favors HOCl; higher pH shifts to OCl− (less effective)."
"What is a chlorine booster station?","Facility to add disinfectant to maintain residual in long systems."
"How is chlorine gas fed?","From cylinders via vacuum regulator to ejector to solution."
"What is emergency scrubber?","System to neutralize accidental chlorine gas releases."
"What is dichlorination?","Removal of chlorine residual before discharge (e.g., using SO2, sulfite)."
"What is the primary goal of disinfection in water treatment?","To kill or inactivate pathogenic microorganisms, preventing waterborne disease transmission."
"Why is chlorine widely used as a disinfectant?","It is effective, leaves a residual in distribution, and is relatively inexpensive."
"What is the difference between free chlorine and combined chlorine?","Free chlorine is available as HOCl and OCl-; combined chlorine forms chloramines when reacting with ammonia."
"What is a CT value?","The product of disinfectant Concentration (C) and Time (T), used to measure inactivation effectiveness."
"Why are CT values important?","They ensure regulatory compliance and adequate pathogen inactivation."
"What is the minimum free chlorine residual required in the distribution system?","0.2 mg/L at the farthest point in the distribution system."
"What is breakpoint chlorination?","The process of adding enough chlorine to oxidize all demand and achieve a free chlorine residual."
"What are common chlorine disinfection byproducts (DBPs)?","Trihalomethanes (THMs) and haloacetic acids (HAAs)."
"What is chloramination?","The use of chloramines (chlorine + ammonia) as a secondary disinfectant to provide longer-lasting residual."
"What is a disadvantage of chloramines?","They are weaker disinfectants than free chlorine and can promote nitrification in distribution systems."
"What is contact time in disinfection?","The time water spends in contact with disinfectant before reaching consumers."
"Why are baffled contact tanks important?","They reduce short-circuiting and improve disinfectant contact time."
"What is chlorine demand?","The amount of chlorine consumed by reactions before a residual can be established."
"How does pH affect chlorine effectiveness?","At lower pH, more hypochlorous acid (HOCl) is present, which is a stronger disinfectant than OCl-."
"What is total chlorine?","The sum of free and combined chlorine in water."
"Why is chlorine dioxide used?","It is effective against Giardia and Cryptosporidium and does not form THMs or HAAs."
"What is a drawback of chlorine dioxide?","It forms chlorite and chlorate byproducts, which are regulated."
"What is ozone disinfection?","A powerful oxidant that kills microorganisms and oxidizes organics without forming THMs or HAAs."
"What is the main limitation of ozone?","It does not leave a residual in the distribution system."
"What is ultraviolet (UV) disinfection?","A physical process that inactivates microbes by damaging their DNA with UV light."
"What is the advantage of UV disinfection?","It is highly effective against protozoa like Cryptosporidium and Giardia, and produces no DBPs."
"What is a disadvantage of UV disinfection?","It provides no residual in the distribution system."
"What is the maximum contaminant level for TTHMs?","80 µg/L annual running average."
"What is the maximum contaminant level for HAA5?","60 µg/L annual running average."
"What is log inactivation?","A way to describe percent reduction of pathogens, e.g., 3-log = 99.9% inactivation."
"Which organism is most resistant to chlorine disinfection?","Cryptosporidium oocysts, requiring UV or ozone for inactivation."
"Why is continuous residual monitoring required?","To ensure adequate disinfection and early detection of problems."
"What is dechlorination?","The removal of chlorine, often with sulfur dioxide or sodium bisulfite, before environmental discharge."
"Why is ammonia added in chloramination?","To form chloramines that provide longer-lasting residuals and reduce DBP formation."
"What is nitrification?","Biological oxidation of ammonia by bacteria in distribution systems, consuming chloramine residual."
"What is the recommended chlorine contact time before entry to distribution?","At least 10 minutes under normal conditions."
"Why is mixing important during disinfection?","To ensure uniform disinfectant distribution and contact throughout the water."
"What is a disinfection byproduct precursor?","Natural organic matter that reacts with disinfectants to form DBPs."
"Why must utilities balance disinfection and DBP control?","Too much chlorine creates DBPs, too little risks microbial contamination."
"What is chlorine gas safety requirement?","Operators must use SCBA and leak detection when handling chlorine gas."
"What is calcium hypochlorite used for?","A solid disinfectant with about 65–70% available chlorine, used in small systems or emergencies."
"What is sodium hypochlorite solution strength?","Typically 5–15% available chlorine, easier to handle than gas but less stable."
"What does breakpoint curve show?","Chlorine demand, combined chlorine, and free chlorine residual development as chlorine dose increases."
"What is chlorite MCL?","1.0 mg/L, regulated when chlorine dioxide is used."
"What is THM formation potential affected by?","High TOC, warm water, and high chlorine dose increase DBP formation."
"What is contact efficiency factor?","A baffle factor credit applied to clearwells to account for mixing efficiency in CT calculations."
