Front,Back
"PPE stands for?","Personal Protective Equipment."
"What is a JSA/JHA?","Job Safety Analysis/Job Hazard Analysis to identify and control hazards."
"Confined space definition?","Space large enough to enter, limited entry/exit, not designed for continuous occupancy."
"Permit-required confined space extra hazard?","Contains/likely to contain hazardous atmosphere or other serious hazards."
"Atmospheric tests before entry?,"Oxygen"," flammable gases/vapors, toxic gases (e.g.H2S, CO)."
"Acceptable oxygen range?","19.5% to 23.5%."
"Fall protection trigger height (typical)?","≥6 ft general industry (check local rules)."
"Lockout/Tagout purpose?","Control hazardous energy during service/maintenance."
"What is H2S hazard?","Toxic gas; can cause respiratory paralysis at high concentrations."
"SCBA is?","Self-Contained Breathing Apparatus."
"When to use face shields?","During tasks with splash risk (chemicals, pressurized lines)."
"What is SDS?","Safety Data Sheet describing chemical hazards and handling."
"What is secondary containment?","Containment to capture spills/leaks from primary containers."
"Emergency eyewash/shower response time?","Reach within 10 seconds; flush eyes for at least 15 minutes."
"What is a hot work permit?","Authorization for welding/cutting/spark-producing work."
"Why maintain good housekeeping?","Reduce slips/trips/falls and fire hazards."
"Chemical storage separation?","Segregate incompatibles (acids vs bases vs oxidizers)."
"What is ergonomic risk?","Injury risk from repetitive motion, awkward postures, force."
"Hearing protection threshold (typical)?","Exposure ≥85 dBA over 8 hours (check policy)."
"Why use traffic control in streets?","Protect workers and public per MUTCD or local guidelines."
"What is trench cave-in hazard control?","Sloping, shoring, or shielding per soil classification."
"Minimum trench protection depth (typical)?","Protection required at ≥5 ft unless rock (check local rules)."
"What is lockout device verification?","Try-start or test to confirm energy isolation is effective."
"Why keep MSDS/SDS accessible?","Ensure quick reference during handling/emergencies."
"What is a near-miss?","Unplanned event that did not result in injury/damage but could have."
"Why report near-misses?","Prevent future incidents by addressing root causes."
"What is GFCI?","Ground-Fault Circuit Interrupter for shock protection."
"Why inspect ladders?","Identify defects and prevent falls."
"Three points of contact means?","Two hands and one foot or two feet and one hand on ladder."
"Why maintain hydration/heat stress program?","Prevent heat exhaustion/heat stroke for outdoor work."
"What is the purpose of a safety program in water operations?","To protect workers, the public, and the environment from hazards associated with water system operations."
"What does OSHA stand for?","Occupational Safety and Health Administration, the U.S. agency that sets and enforces workplace safety standards."
"What is PPE?","Personal Protective Equipment, such as gloves, goggles, respirators, or hard hats that protect workers from hazards."
"Why are safety data sheets (SDS) important?","They provide hazard information, handling precautions, and emergency response steps for chemicals."
"What does HAZCOM refer to?","The Hazard Communication Standard, requiring labeling and training on hazardous chemicals."
"What is lockout/tagout (LOTO)?","A procedure ensuring machines are shut off and cannot be restarted until maintenance is complete."
"Why is confined space entry dangerous?","It may contain toxic gases, low oxygen, or engulfment hazards; requires permits and monitoring."
"What is an SCBA?","Self-Contained Breathing Apparatus, used for protection in chlorine leaks or oxygen-deficient spaces."
"What is the difference between SCBA and APR?","SCBA supplies clean air from a tank; Air-Purifying Respirators filter contaminants from ambient air."
"Why is fall protection required?","To prevent injuries when working at heights above 6 feet or near unprotected edges."
"What is ergonomics in safety?","Designing tasks and tools to reduce strain and musculoskeletal injuries."
"Why is hearing protection important?","Prolonged exposure to noise above 85 dBA can cause permanent hearing loss."
"What is a chlorine gas hazard?","Chlorine is toxic, corrosive, and heavier than air; leaks can be life-threatening."
"What emergency kits are used for chlorine cylinders?","AWWA chlorine kits (A, B, C) designed to stop leaks on cylinders, ton containers, or tank cars."
"What is the purpose of eyewash stations?","To provide immediate flushing of eyes exposed to chemicals."
"What is the recommended duration for emergency eyewash flushing?","At least 15 minutes with clean water."
"What is trench shoring used for?","To prevent soil collapse and protect workers in excavations."
"At what depth is trench protection required?","At 5 feet or deeper, unless soil is stable and approved otherwise."
"What is atmospheric testing in confined spaces?","Checking for oxygen levels, flammable gases, and toxic vapors before entry."
"What are the safe oxygen levels for confined space entry?","Between 19.5% and 23.5% oxygen."
"What is the purpose of a safety harness?","To arrest falls and allow safe rescue from elevated or confined work areas."
"What is a near-miss?","An unplanned event that did not cause injury or damage but had the potential to do so."
"Why report near-misses?","To identify hazards and prevent future incidents."
"What is the role of a safety committee?","To review incidents, recommend improvements, and promote a culture of safety."
"What is first aid?","Immediate care given to an injured person until professional help is available."
"What is CPR?","Cardiopulmonary Resuscitation, a lifesaving technique combining chest compressions and rescue breathing."
"What is AED?","Automated External Defibrillator, a device that delivers a shock to restore normal heart rhythm."
"Why is chemical labeling important?","Proper labeling prevents accidental misuse and ensures safe handling."
"What does GHS stand for?","Globally Harmonized System of Classification and Labeling of Chemicals."
"Why is ladder safety important?","Falls are a leading cause of injury; ladders must be stable, inspected, and used correctly."
"What is the three-point contact rule?","Always keep two hands and one foot, or two feet and one hand, on a ladder."
"Why is electrical safety important?","Contact with live wires can cause shocks, burns, or death; lockout/tagout prevents accidental energization."
"What is grounding?","Connecting equipment to earth to prevent buildup of dangerous voltages."
"What is arc flash?","An explosive release of energy due to electrical faults, causing burns and injuries."
